sku,product_name,dsc_product_brand_name,dsc_image_url,bi_category_one,bi_category_two,bi_category_three
FA113MW11HVCANAFAMZ,Navy Blue Plain T-shirt,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/62/979562/1.jpg,Men's clothing,T-shirts,Short sleeves
GE840AA0PJDJFNAFAMZ,African Dashiki Print  T-shirt - Black,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/42/894411/1.jpg,Men's clothing,T-shirts,Short sleeves
FA113MW0AQH0YNAFAMZ,True red pocket 6716--Dad short sleeve t-shirt men,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/18/031282/1.jpg,Men's clothing,T-shirts,Short sleeves
FA113MW0FP7HSNAFAMZ,Jumia Jforce Tshirt-Orange,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/26/370352/1.jpg,Men's clothing,T-shirts,Short sleeves
FA113AA18BSYUNAFAMZ,Grey T shirt_Daddy,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/74/453862/1.jpg,Men's clothing,T-shirts,Short sleeves
FA113AA1IMOFWNAFAMZ,Black Plain Tshirt,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/91/757372/1.jpg,Men's clothing,T-shirts,Short sleeves
FA113MW0CSG7ONAFAMZ,V neck mens tshirt - Red,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/21/482772/1.jpg,Men's clothing,T-shirts,Short sleeves
FA113MW13M5VKNAFAMZ,"4 Pack of POLO Tshirt / Polo Shirts - Grey,Red,Black and Blue",Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/66/539072/1.jpg,Men's clothing,T-shirts,Short sleeves
FA113AA17DCANNAFAMZ,2-in-1 Men's Short Sleeve Shorts Set - Blue,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/72/845951/1.jpg,Men's clothing,T-shirts,Short sleeves
FA113MW0WZUUKNAFAMZ,Red Polo T-shirt,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/55/420652/1.jpg,Men's clothing,T-shirts,Short sleeves
FA113MW0UMZMINAFAMZ,254 Maroon Cotton  Hoodie,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/51/461082/1.jpg,Men's clothing,T-shirts,Short sleeves
FA113MW124XFCNAFAMZ,Yellow Tshirt,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/64/055352/1.jpg,Men's clothing,T-shirts,Short sleeves
FA113AA0Q01N1NAFAMZ,Men Shirt Long Sleeve 3D Splash Ink Print Shirts Casual Blouse Plus Size MR/L- Multicolor,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/43/672141/1.jpg,Men's clothing,T-shirts,Short sleeves
FA113AA08EY7YNAFAMZ,Heavy weight jungle green  plainTshirt,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/14/134462/1.jpg,Men's clothing,T-shirts,Short sleeves
GE840AA09JAPXNAFAMZ,Men's Casual Polo Shirt Short Sleeved T Shirt White Color,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/16/016901/1.jpg,Men's clothing,T-shirts,Short sleeves
BR591MW0TS5I2NAFAMZ,Mens Short Sleeve Printed Round Neck Tee - 150 Grams,Jack & Jones,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/50/022362/1.jpg,Men's clothing,T-shirts,Short sleeves
FA113MW0EJWMUNAFAMZ,Tribal T-shirt,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/24/443382/1.jpg,Men's clothing,T-shirts,Short sleeves
FA113MW0NSCRMNAFAMZ,254 Brown cotton hoodie,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/39/954082/1.jpg,Men's clothing,T-shirts,Short sleeves
FA113MW0XDZYWNAFAMZ,White Reggae Custom Tshirt,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/56/080472/1.jpg,Men's clothing,T-shirts,Short sleeves
FA113AA1IJ8ZGNAFAMZ,White Cotton Men's Underwear Vest - 3 Pieces White,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/91/597372/1.jpg,Men's clothing,T-shirts,Short sleeves
FA113AA144FRFNAFAMZ,King & Queen Branded Couple's Matching T-Shirts – Black & White,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/67/391691/1.jpg,Men's clothing,T-shirts,Short sleeves
BR591MW0ZQHJUNAFAMZ,Mens Short Sleeve Printed Round Neck Tee - 150 Grams,Jack & Jones,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/60/022362/1.jpg,Men's clothing,T-shirts,Short sleeves
GE840AA0F92E1NAFAMZ,"Arsenal,Gunners T-shirt black",Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/25/617241/1.jpg,Men's clothing,T-shirts,Short sleeves
FA113AA1DY91ONAFAMZ,2-in-1 Men's Short Sleeve Shorts Set - Blue,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/83/899212/1.jpg,Men's clothing,T-shirts,Short sleeves
FA113MW08DQBENAFAMZ,+254 Kenyan T-shirt,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/14/077562/1.jpg,Men's clothing,T-shirts,Short sleeves
FA113AA0LO00BNAFAMZ,Branded Couple's Matching T-Shirts – Maroon,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/36/391691/1.jpg,Men's clothing,T-shirts,Short sleeves
FA113MW1IPBNENAFAMZ,White Custom RoundNeck Tshirt,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/91/880762/1.jpg,Men's clothing,T-shirts,Short sleeves
FA113AA1DLM5KNAFAMZ,Round Neck Plain T-Shirt - Green,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/83/309672/1.jpg,Men's clothing,T-shirts,Short sleeves
GE840AA0V63LFNAFAMZ,Men's Short Sleeve T-Shirt idea tree - grey,Generic,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/52/352691/1.jpg,Men's clothing,T-shirts,Short sleeves
FA113AA0QA3TNNAFAMZ,Mens  Printed Blouse Casual Long Sleeve Slim Shirts Tops,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/44/141531/1.jpg,Men's clothing,T-shirts,Short sleeves
FA113MW0T40A4NAFAMZ,White Long sleeve t shirt,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/48/895852/1.jpg,Men's clothing,T-shirts,Short sleeves
GE840AA067XVUNAFAMZ,Fashion Music Headphone Print T Shirt,Generic,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/10/448202/1.jpg,Men's clothing,T-shirts,Short sleeves
FA113MW13NQIGNAFAMZ,4:19 Black T shirt,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/66/612472/1.jpg,Men's clothing,T-shirts,Short sleeves
FA113MW097IUINAFAMZ,Black Kwa Ground Vitu Ni Different Tshirt,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/15/467562/1.jpg,Men's clothing,T-shirts,Short sleeves
FA113MW0TJBR6NAFAMZ,Essentials Men's  6-Pack round-Neck Undershirts fits,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/49/610562/1.jpg,Men's clothing,T-shirts,Short sleeves
FA113AA0CFRCZNAFAMZ,whiskyky store Mens Fashion Summer Hawaiian Floral Print Short Sleeve Shirt Flower T-Shirt Tops,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/20/890691/1.jpg,Men's clothing,T-shirts,Short sleeves
FA113AA07FRZINAFAMZ,TESLA T shirt Funny Old Man Models 3 S X Father Dad Car Men's Gift Top XS-3XL,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/12/493422/1.jpg,Men's clothing,T-shirts,Short sleeves
FA113MW0IT8RANAFAMZ,Twa Twa Black Tshirt,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/31/597462/1.jpg,Men's clothing,T-shirts,Short sleeves
AF773AA0WV37CNAFAMZ,White Round Neck T-Shirt,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/55/1982/1.jpg,Men's clothing,T-shirts,Short sleeves
FA113AA1A0NZINAFAMZ,APPLE Logo T shirt GLOW IN THE DARK NEW iPhone Mens Quality Fashion Top XS-3XL,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/77/293422/1.jpg,Men's clothing,T-shirts,Short sleeves
FA113AA11OE7ANAFAMZ,Men's Summer Fashion Cotton Short Sleeve Cartoon Printed Young Men T-shirt Round Collar Slim,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/63/283942/1.jpg,Men's clothing,T-shirts,Short sleeves
GE840AA0EUYMANAFAMZ,Ovo Bird Owl Men's Cotton Long Sleeve T-shirt Blue,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/24/95917/1.jpg,Men's clothing,T-shirts,Short sleeves
FA113AA05PBK6NAFAMZ,Red and white Arsenal home kit jersey,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/09/579462/1.jpg,Men's clothing,T-shirts,Short sleeves
FA113AA1ID9FGNAFAMZ,3 in 1 Dragon Phoenix Print Men's Casual Long Sleeve Slim T-Shirt White Blue Red,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/91/318012/1.jpg,Men's clothing,T-shirts,Short sleeves
FA113MW0BB636NAFAMZ,3 Pack V Neck T-shirts /white Black /Grey,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/18/996882/1.jpg,Men's clothing,T-shirts,Short sleeves
GE840AA0V7NXHNAFAMZ,Supercool standard  Plain round neck T-Shirt-  Black,Generic,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/52/425701/1.jpg,Men's clothing,T-shirts,Short sleeves
FA113MW04IB9KNAFAMZ,Blue Plain Cotton Tshirt,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/07/572872/1.jpg,Men's clothing,T-shirts,Short sleeves
FA113MW199Q6QNAFAMZ,Black Trio tshirt,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/76/036562/1.jpg,Men's clothing,T-shirts,Short sleeves
EN499AA0FQXTONAFAMZ,100% Kenyan Local Cotton Tusker UnisexT-Shirt,Enkaya Designs,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/26/451132/1.jpg,Men's clothing,T-shirts,Short sleeves
FA212AA11D96CNAFAMZ,Lacasa del papel Professor Face Vinyl Fashion T-shirt,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/62/764212/1.jpg,Men's clothing,T-shirts,Short sleeves
FA113AA06GWUHNAFAMZ,Plain round neck T-Shirt- Green,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/10/866761/1.jpg,Men's clothing,T-shirts,Short sleeves
GE840AA0KXM8NNAFAMZ,Men's long sleeve t-shirt NO7 - black,Generic,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/35/160791/1.jpg,Men's clothing,T-shirts,Short sleeves
FA113MW11NR2SNAFAMZ,Beaver Valley Funny T Shirt Offensive T Shirts Cool T Shirt Rude  with Funny Sayings Adult Tee,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/63/253972/1.jpg,Men's clothing,T-shirts,Short sleeves
FA113MW17CEZ8NAFAMZ,Beige Men's Tshirt,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/72/802772/1.jpg,Men's clothing,T-shirts,Short sleeves
GE840AA10C1MYNAFAMZ,J. Cole Born Sinner Poster Men's Cotton Long Sleeve T-shirt Black,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/61/02817/1.jpg,Men's clothing,T-shirts,Short sleeves
FA113MW05B8XKNAFAMZ,Valentines Day Gift Pack for Her,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/08/922872/1.jpg,Men's clothing,T-shirts,Short sleeves
FA113AA12WOT3NAFAMZ,Mens Casual Summer Pure Color Stand Collar V Neck Polo Shirt Short T-Shirt,Generic,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/65/350551/1.jpg,Men's clothing,T-shirts,Short sleeves
FA113MW0JBDJANAFAMZ,Black Old Scholl Tshirt,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/32/443462/1.jpg,Men's clothing,T-shirts,Short sleeves
GE840MW045O2WNAFAMZ,Fashion 2 Piece Set Men's Short Sleeve T-shirt +Pants Suit,Generic,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/06/982952/1.jpg,Men's clothing,T-shirts,Short sleeves
FA113AA0GQWNANAFAMZ,Becky Lynch Becky 2 Belts T-Shirt WWE US,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/28/129222/1.jpg,Men's clothing,T-shirts,Short sleeves
FA113MW0VDTO0NAFAMZ,"Black Creepy Cartoon Classic T-shirt ",Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/52/713072/1.jpg,Men's clothing,T-shirts,Short sleeves
FA113MW0398F2NAFAMZ,Kenyan Design Tshirt,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/05/469662/1.jpg,Men's clothing,T-shirts,Short sleeves
FA113AA1E31OENAFAMZ,Men's Shirt Summer Fashion Cotton Short Sleeve Cartoon Printed Young Men T-shirt Round Collar Slim,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/84/122942/1.jpg,Men's clothing,T-shirts,Short sleeves
BR591MW05YTAYNAFAMZ,Mens Short Sleeve Printed Round Neck Tee - 150 Grams,Jack & Jones,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/10/022362/1.jpg,Men's clothing,T-shirts,Short sleeves
FA113MW0REQ1ENAFAMZ,Black Sport kenya tshirt,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/46/036562/1.jpg,Men's clothing,T-shirts,Short sleeves
RE707AA18V4BANAFAMZ,Indigo Blue Heavy Cotton Men's T Shirt,GILDAN,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/75/35503/1.jpg,Men's clothing,T-shirts,Short sleeves
GE840AA021B6CNAFAMZ,Aki Wewe Funny T Shirt,Generic,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/03/420372/1.jpg,Men's clothing,T-shirts,Short sleeves
FA113AA1JHXWANAFAMZ,White Plain Tshirt,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/93/215962/1.jpg,Men's clothing,T-shirts,Short sleeves
GE840AA00COZ6NAFAMZ,Love My Roots Tshirt,Generic,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/00/592242/1.jpg,Men's clothing,T-shirts,Short sleeves
FA113MW0PL78QNAFAMZ,Grey Plain T-shirt,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/42/979562/1.jpg,Men's clothing,T-shirts,Short sleeves
FA113AA0NKKL7NAFAMZ,King - Queen - Prince T-shirt,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/39/590971/1.jpg,Men's clothing,T-shirts,Short sleeves
GE840AA18FJIPNAFAMZ,Round Neck Plain T-Shirt - Red,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/74/628241/1.jpg,Men's clothing,T-shirts,Short sleeves
GE840MW133IC0NAFAMZ,2 Piece Men's Round Neck Short Sleeve Trouser+T-Shirt,Generic,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/65/668752/1.jpg,Men's clothing,T-shirts,Short sleeves
PE027AA0ACFY5NAFAMZ,Royal Blue 100% Heavy Cotton Men's T Shirt,Pentastic Wear,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/17/376701/1.jpg,Men's clothing,T-shirts,Short sleeves
ZE396AA0JPIOYNAFAMZ,Mulberry Short Sleeved Mens Plain Polo T-shirts,Zecchino,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/33/10333/1.jpg,Men's clothing,T-shirts,Short sleeves
GE840AA1HYPMQNAFAMZ,Pink Floyd Wish You Were Here Men's Cotton Long Sleeve T-shirt Grey,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/90/63917/1.jpg,Men's clothing,T-shirts,Short sleeves
MA111AA1936N8NAFAMZ,Light Grey Round Neck T-Shirt,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/75/7313/1.jpg,Men's clothing,T-shirts,Short sleeves
FA113AA0W81J2NAFAMZ,Men's Shirt Summer Fashion Cotton Short Sleeve Cartoon Printed Young Men T-shirt Round Collar Slim,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/54/122942/1.jpg,Men's clothing,T-shirts,Short sleeves
FA113AA0UTC8SNAFAMZ,Black Plain Tshirt,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/51/757372/1.jpg,Men's clothing,T-shirts,Short sleeves
FA113AA1BTBC8NAFAMZ,Couple Branded T-shirt,Fashion,https://KE.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/80/309672/1.jpg,Men's clothing,T-shirts,Short sleeves
